,prompt,response
0,Defect status of last VIRfor the vessel GLOBE ATLAS,"The defect status of the last VIR for the vessel GLOBE ATLAS is as follows:

Reference Number: IFFR/VIR/GLAT-SMPL/2023/Mar/6
Total Number of Defects: 59
Overdue Defects: 0
Open Defects: 0
There is no data available for the VIR Status."
1,Running Status of Compressorfor the vessel DEE4 ILEX,"The running status of the compressor for the vessel DEE4 ILEX is as follows:

MAC 1 has a total running hours of 1295, with 79 hours run in the last month.
MAC 2 has a total running hours of 1241, with 33 hours run in the last month.
In terms of maintenance:

A routine overhaul is due for the Service Air Compressor after 7500 hours.
There is a plan to check for the availability of spares for the Service Air Compressor 3500 Hours Routine."
2,Critical equipment monthly performance test report must be available in Shippalmfor the vessel GALUNGGUNG,The monthly performance test report for critical equipment is not available in Shippalm for the vessel GALUNGGUNG.
3,non critical Jobs due >500 Hrsfor the vessel D AND K YUSUF I. AL-GHANIM,"For the vessel D AND K YUSUF I. AL-GHANIM, there are no non-critical jobs overdue for more than 500 hours. However, there are 2 non-critical jobs that are overdue for more than 30 days."
4,Auxiliiary boiler water chemicals ROB & supply trendfor the vessel REDWOOD MARINER,The trend of Boiler Water Chemicals ROB & Supply for the vessel REDWOOD MARINER is currently not available as the SM 2.0 forms have not been released yet. The same applies to the trend of CWT Chemicals ROB & Supply.
5,What are the CDI Historical Observation for the vesselfor the vessel RIDGEBURY GALILEO,"The historical observations for the vessel RIDGEBURY GALILEO are available for the last 3 inspections. However, the specific details of these observations are not provided in the search results. If you need detailed information about these observations, please provide more specific queries."
6,Aux. Boiler & CWT monthly testing report summaryfor the vessel GCL TAPI,"Result of question Boiler & CWT monthly testing report summary For Vessel GCL TAPI Answer -

Latest WSS Report:Jun 2023"
7,SIRE/CDI Statusfor the vessel PRO ALLIANCE,The SIRE inspection for the vessel PRO ALLIANCE is due in 125 days. CDI is not applicable for this vessel.
8,Can you explain the best practices for IHM maintenancefor the vessel POINT LISAS,IHM is maintained as per company procedure and guidelines. Last updated on 15th July 2023.
9,IHM Certificate Statusfor the vessel EVERGREEN MARINER,The IHM certificate for the vessel EVERGREEN MARINER is in order.
10,What are the new features or improvements in SIRE 2.0 compared to the previous versionfor the vessel PACIFIC GARNET,SIRE 2.0 Not Applicable for this vessel
11,Status of Owner's Inspectionfor the vessel ITALIAN BULKER,There are no records available for both owner's and charterer's inspections for the vessel Italian Bulker.
